SKU,Published,Sale price,Regular price
SKU_OR9O2_RB9,1,,15600
SKU_2NVIDEZ_4K8UMET,1,,17500
SKU_354F6IZ_7GYG3BR,1,,9800
SKU_2NEQMQO_4I041OE,1,21250,21750
SKU_2SJBKXD_69XIBDM,1,19800,21000
SKU_JSWLLK_102OJXY,1,12500,25000
SKU_342SIRX_35KPO3F,1,13440,21000
SKU_1CYM6_67XHQ,1,,14250
SKU_2SKH6PZ_56FHWEC,1,,19500
SKU_2TMP49A_5FHHA4X,1,13760,19900
SKU_23O52V0_6F7CSO9,1,16600,16900
SKU_37VKU4Z_7WIBCGQ,1,22400,34000
SKU_8YV_6W3HLR,1,26500,26500
SKU_2S56LIT_53SJEIC,1,,26000
SKU_2X29P82_656Y1G5,1,10470,15800
SKU_2TLJCBV_5F6QYPM,1,,9900
SKU_493Z_7TZD,1,10280,11200
SKU_2F4ZJ1X_3G3N1VO,1,,9600
SKU_5QGAWZ_I7AJUV,1,10800,23000
SKU_2XZGN25_6B4K868,1,16810,27000
SKU_3103KEX_6TYND6X,1,,13090
SKU_30BPEOG_6PRKO1V,1,16700,32000
SKU_1M13F_7FD0F,1,,12000
SKU_2W9LE8V_7S57VDB,1,,35000
SKU_316XPLQ_6V2Z9H5,1,19800,46000
SKU_3M7TRQ_B7P3Q2,1,21490,35000
SKU_2TOUZDW_5G1FQQJ,1,11900,25000
SKU_2ZW1029_6N7FEDY,1,12500,14100
SKU_2S10OQJ_537ZF7G,1,13320,32000
SKU_2PSA251_4SWYWPP,1,12500,22000
SKU_2YDFP4N_6DMNTBM,1,,18000
SKU_3410UIL_7B5P28J,1,13900,23000
SKU_2XCKITV_672OVA4,1,102300,102300
SKU_UQ9UAI_1G8HTO3,1,38800,40080
SKU_39JQF1U_85PD8QI,1,39000,41000
SKU_37Q21XC_7VL0UTF,1,10000,19800
SKU_2LLOCN4_49KKCQ0,1,17000,22000
SKU_3700BZ3_7RKCXF6,1,36520,44000
SKU_2RGA9W_OVEU7,1,15100,28300
SKU_25M19WR_2PKZCRY,1,,96100
SKU_311M70N_6U7UXW2,1,16300,34000
SKU_2S5QE7E_53VNZRE,1,,16640
SKU_2LLRTKR_49KZFZJ,1,16600,30000
SKU_2KAD544_43GEGUC,1,,13600
SKU_331DK3Q_75XTZZ7,1,24780,30600
SKU_ZZ1OQK_1P7NVVJ,1,12900,20000
SKU_2OTZRTQ_4OOY7SU,1,40000,40000
SKU_39ONO8Q_86FPK4R,1,29900,41000
SKU_2N7HAUA_4H1UF1E,1,,28670
SKU_2VJ4WCW_5UQCMD8,1,51080,68000
SKU_JSWLOT_102OK0Z,1,8790,15000
SKU_36V35L2_7QREMKJ,1,26000,28000
SKU_2ZT1LFX_6MOMEGE,1,14680,15850
SKU_Q48KML_18NLAIU,1,5900,9500
SKU_389VSOA_7YXM532,1,9900,10800
SKU_2WX2M5W_64BH4PA,1,13390,24000
SKU_35MHRG8_7JS53YO,1,35060,39000
SKU_3LSQ5B_B5FF9A,1,11260,16000
SKU_2S3YWBK_53KT58U,1,17590,21000
SKU_29DF_4DMN,1,7470,9900
SKU_39V5HVP_87BZ8NX,1,19800,55000
SKU_2O5EQVJ_4LKWKOA,1,,16000
SKU_1IQBW7_4Q5AD7,1,11400,16000
SKU_2RGAA3_RDS,1,,13700
SKU_336V6DD_76OWMMX,1,,17600
SKU_347AM9D_7C1XD7G,1,,19500
SKU_NZ854L_15AM35O,1,22490,35000
SKU_4D8R0S_DP2HUN,1,12900,22000
SKU_291M7J_6LLJ92,1,21800,38000
SKU_2JGFNGY_3ZGPM28,1,10780,22000
SKU_2TF9H5B_5P871FN,1,14800,29600
SKU_XNM4E3_315ELYZ,1,19800,45800
